	N1‒UNIF ρ	Chao92 ρ	Jack1 ρ	Chao2sig ρ	Distinct
movie theater (Q41253)	1.3292476199496018e-06	1.3292476199496018e-06	0.9050802433341248	0.0306584272146816	46099.0
magazine (Q41298)	2.4021314348896332e-05	3.0328108389521464e-05	0.5239197322801588	0.15605779261935013	21692.0
constitutional monarchy (Q41614)	0.0035852658223514454	0.09961737516782233	0.1406754820117693	0.19638224968432766	14.0
ethnic group (Q41710)	4.191810411607724e-05	0.0003214464908183024	0.5285686901414125	0.329607484474186	6943.0
day of the week (Q41825)	0.0	0.0	0.0	0.0	7.0
petroglyph (Q42195)	2.7830260562706e-07	2.7830260562706e-07	0.9734485070106443	0.00653777961595688	18375.0
wall (Q42948)	0.00011786060181030955	0.00011786060181030955	0.4774004171536708	0.4039222419646311	8209.0
orchestra (Q42998)	0.00035015585546138836	0.0004322974969494369	0.2740579522774791	0.1679084392559688	1360.0
organization (Q43229)	9.083421550265575e-06	1.85473373499282e-05	0.6342155393010304	0.14609914986654818	40863.0
water well (Q43483)	0.00016646833685294242	0.00019696435535045405	0.532877400915376	0.20381719645444915	2439.0
zoo (Q43501)	0.0008522550846889115	0.000995656872349232	0.2899698455466591	0.2227047902764965	1416.0
federation (Q43702)	0.0007097356263210132	0.027522356216765985	0.4002933557210931	1.1640939406684558	29.0
tunnel (Q44377)	0.002145833510771326	0.002145833510771326	0.1433518499154453	0.06410779874992475	1360.0
mill (Q44494)	6.992543299161258e-05	0.00011030310415707431	0.6188410589958626	0.1636761688721831	2686.0
temple (Q44539)	7.968173208116543e-06	7.968173208116543e-06	0.8830174948674331	0.04790686222304144	14777.0
extrasolar planet (Q44559)	0.0006181232085168834	0.0006181232085168834	0.23639419497263142	0.12571792432646686	2967.0
monastery (Q44613)	6.818751568856472e-05	0.00016657296593832125	0.3143873279609529	0.1856065242404454	8256.0
province of Argentina (Q44753)	0.0	0.0	0.0	0.0	22.0
port (Q44782)	0.0004594019183065627	0.0012837241806083343	0.3579718658349971	0.43634278713651403	1668.0
dead language (Q45762)	0.002313143630657751	0.019224761894955346	0.06754889830546232	0.09637282707609535	328.0
fjord (Q45776)	0.000731911746477991	0.0008888452233569537	0.20893604362209892	0.14143112675485148	2183.0
national park (Q46169)	0.0007741899668393902	0.0013112979948082322	0.06593362610960334	0.028788934395432918	1673.0
British Overseas Territory (Q46395)	0.0	0.0	0.0	0.0	15.0
controlled-access highway (Q46622)	0.001230655299882638	0.0032928420789725423	0.21155044175704438	0.21106514624345835	696.0
reredos (Q46686)	4.274476434990502e-06	4.274476434990502e-06	0.9462810731519644	0.01310499084090956	8337.0
mountain range (Q46831)	3.278761625407018e-05	8.848482893739065e-05	0.36673385787887697	0.2390482667387044	21390.0
airline (Q46970)	0.00015298357079822272	0.00035600349890612575	0.22550371910574757	0.1725771961313431	4233.0
Abrahamic religion (Q47280)	0.0	0.0	0.0	0.0	1.0
stream (Q47521)	5.930484985478978e-06	6.051678336188727e-06	0.8003220051591621	0.06243443452583625	37443.0
Fibonacci number (Q47577)	0.0	0.0	0.0	0.0	20.0
association (Q48204)	0.0010978618612884187	0.0015260620276947286	0.3957694897895854	0.18514463660848235	6762.0
gender identity (Q48264)	0.0012658227848101333	0.030334396682738567	0.013671875	0.015057125754535229	18.0
gender (Q48277)	0.014818881065493228	0.543819505198502	0.196945674816477	0.26649712151921234	5.0
province of Turkey (Q48336)	0.0	0.0	0.0	0.0	81.0
empire (Q48349)	0.001984086729716696	0.02294868016280205	0.06447420156025568	0.04784845964232279	42.0
prime number (Q49008)	0.0003433573664487925	0.0004978094772890055	0.026061735409867885	0.007803726264816603	1320.0
short story (Q49084)	0.00017493925521627036	0.00019004488659369993	0.3449745553307414	0.2580786649966516	5208.0
presidential system (Q49892)	0.0	0.0	0.0	0.0	1.0
binary star (Q50053)	0.0006943915928013169	0.0009173608041034723	0.08207047838345993	0.020423982256431505	327.0
province of Thailand (Q50198)	0.0	0.0	0.0	0.0	76.0
administrative territorial entity of the People's Republic of China (Q50231)	4.553293480469949e-05	4.553293480469949e-05	7.064326043540898e-05	2.2765949102149462e-05	13830.0
prefecture of Japan (Q50337)	0.0002655815336354695	0.0015646548143903542	0.05470713189346587	0.007104692014164259	54.0
oxide (Q50690)	0.012327973572586389	0.38043772833956524	0.2271339424894791	0.8590440907722616	13.0
composite number (Q50707)	0.0007463503793153284	0.0007463503793153284	0.0007237066111945801	0.00016744715790464572	8845.0
regiment (Q52371)	0.00012244615650536557	0.00012244615650536557	0.6071219186629082	0.17865094509427393	3594.0
gate (Q53060)	0.000351051498036718	0.000351051498036718	0.3871507306231351	0.2617128708424664	3119.0
hill (Q54050)	1.8887833622852104e-06	1.8887833622852104e-06	0.6508091358092367	0.15228429909791558	308563.0
boulevard (Q54114)	0.001135415536290544	0.0023997956946886587	0.30372523918900246	0.3343974787706979	846.0
gymnasium (Q55043)	0.000717346063963062	0.0011441469564070282	0.19994244149607077	0.12651290982149027	1056.0
railway station (Q55488)	1.3998645907436974e-05	2.164985573487564e-05	0.07131946149460308	0.02723642834197154	80896.0
underground railway station (Q55491)	9.619920363826122e-05	0.00012015480652380068	0.016819204490053523	0.003060882853810295	3206.0
lossy compression (Q55564)	0.0	0.0	0.0	0.0	2.0
railway halt (Q55678)	0.000233996455546906	0.00034383471118519526	0.3306385793242148	0.2523306448056011	3271.0
impact crater (Q55818)	0.00013378802318542775	0.0001342113146094109	0.35469361558704593	0.19924081947437983	2516.0
supercontinent (Q55833)	0.02065020140678032	0.537353764163568	0.05469397018876185	0.1294986549186797	18.0
military rank (Q56019)	8.911377106641109e-05	0.0015500169088143835	0.4117813149220484	0.210214616560696	971.0
administrative territorial entity (Q56061)	0.0005117259676125578	0.003301714873433303	0.34310105665248014	0.8300566096054642	1876.0
county of Croatia (Q57053)	0.0	0.0	0.0	0.0	20.0
municipality of Croatia (Q57058)	0.0034435930298754524	0.008682932042836045	0.16350329177282408	0.05348277910556753	898.0
Free imperial city (Q57318)	0.00010833460781318364	0.0038420302095231286	0.8241735802907526	0.1776255064771402	69.0
fortification (Q57821)	0.0007931130063562367	0.00149799847276759	0.23762009252935978	0.18797551621268416	822.0
fortress (Q57831)	0.0010302935005924274	0.0036370670694843028	0.21290827262755224	0.25112426137092125	648.0
instant messaging (Q58199)	0.008567904803479654	0.17748103354583533	0.18326875474752932	0.4827165921291171	19.0
district of Cyprus (Q59136)	0.0	0.0	0.0	0.0	6.0
barangay (Q61878)	0.00020193608203447464	0.00023448223302722032	0.5479987953433775	0.28632415331828215	2884.0
air force (Q61883)	0.0008321235929159974	0.009419411122078503	0.1661582677534401	0.14310890727882233	202.0
county seat (Q62049)	0.0003703583941715334	0.004369151455169732	0.003179112238662279	0.0014348258457957694	310.0
aerodrome (Q62447)	0.0017275020869500601	0.0017275020869500601	0.09779789341189218	0.044714537543697454	3210.0
observatory (Q62832)	0.006996716684194837	0.010137648471586982	0.2107001167366274	0.14723175634147168	200.0
